512,0,552,0,552,22,512,22
556,0,590,0,590,18,556,18
594,0,632,0,632,16,594,16
468,0,510,0,510,30,468,30
411,3,465,0,466,23,412,26
370,4,410,4,410,30,370,30
338,6,370,6,370,32,338,32
200,8,246,8,246,38,200,38
290,8,338,8,338,34,290,34
246,10,288,10,288,36,246,36
118,14,146,14,146,42,118,42
148,16,198,16,198,40,148,40
48,22,84,22,84,46,48,46
86,22,116,22,116,44,86,44
554,206,580,206,580,218,554,218
580,206,612,211,609,225,578,220
610,210,655,214,653,228,608,224
656,214,687,218,685,231,654,226
308,268,342,268,342,280,308,280
424,314,442,314,442,326,424,326
386,320,421,316,423,329,388,333
360,324,388,324,388,338,360,338
280,340,304,340,304,350,280,350
306,340,318,340,318,358,306,358
244,346,268,346,268,358,244,358
488,386,522,386,522,398,488,398
352,398,386,398,386,410,352,410
408,402,440,402,440,414,408,414
508,442,534,442,534,454,508,454
534,446,564,446,564,458,534,458
192,448,212,448,212,460,192,460
212,448,224,448,224,456,212,456
562,445,607,449,605,463,561,459
608,452,638,452,638,464,608,464
476,522,504,522,504,532,476,532
560,520,608,520,608,540,560,540
649,601,727,594,728,609,650,616
728,596,764,596,764,610,728,610
630,600,650,600,650,614,630,614
296,602,330,602,330,614,296,614
596,602,628,602,628,618,596,618
558,604,596,604,596,620,558,620
680,614,726,614,726,626,680,626
660,616,678,616,678,630,660,630
608,616,628,616,628,632,608,632
632,618,658,618,658,632,632,632
272,626,322,626,322,650,272,650
744,644,788,644,788,656,744,656
674,650,692,650,692,658,674,658
582,656,598,656,598,662,582,662
514,658,540,658,540,668,514,668
653,668,707,665,708,677,654,680
563,674,619,671,620,683,564,686
690,680,708,680,708,692,690,692
656,682,690,682,690,694,656,694
563,688,621,684,622,696,564,699
393,696,477,691,478,706,394,711
678,694,710,694,710,706,678,706
656,696,680,696,680,706,656,706
324,698,358,698,358,712,324,712
360,698,392,698,392,710,360,710
604,698,624,698,624,710,604,710
563,701,603,698,604,709,564,712
131,706,225,701,226,717,132,722
226,702,300,702,300,716,226,716
304,702,324,702,324,714,304,714
102,708,130,708,130,722,102,722
655,710,711,706,712,718,656,721
757,711,785,709,786,717,758,720
566,714,624,714,624,726,566,726
658,722,712,722,712,734,658,734
606,726,624,726,624,736,606,736
566,728,606,728,606,738,566,738
518,848,570,848,570,872,518,872
402,850,448,850,448,882,402,882
450,848,517,853,515,877,448,871
360,852,400,852,400,882,360,882
244,856,280,856,280,884,244,884
322,856,358,856,358,878,322,878
280,862,318,862,318,882,280,882
194,862,241,866,239,889,192,885
120,864,190,867,189,890,119,887
84,868,114,868,114,888,84,888
725,888,843,884,844,907,726,911
844,888,897,883,899,906,846,911
682,890,724,890,724,912,682,912
466,908,486,908,486,934,466,934
414,910,466,910,466,938,414,938
787,916,850,906,854,931,791,941
294,912,328,912,328,940,294,940
386,912,412,912,412,934,386,934
738,912,788,912,788,936,738,936
328,914,356,914,356,936,328,936
356,916,384,916,384,936,356,936
710,916,736,916,736,938,710,938
194,918,245,924,243,947,191,941
246,920,290,920,290,942,246,942
152,922,192,922,192,948,152,948
848,962,895,959,897,987,850,991
798,964,842,964,842,990,798,990
758,966,792,966,792,994,758,994
856,994,912,994,912,1026,856,1026
788,1000,854,1000,854,1030,788,1030
752,1006,790,1006,790,1032,752,1032
863,1028,920,1022,923,1053,866,1059
66,1037,141,1030,143,1057,68,1064
798,1032,864,1032,864,1058,798,1058
224,1034,268,1034,268,1054,224,1054
746,1034,794,1034,794,1058,746,1058
146,1036,222,1036,222,1056,146,1056
584,1042,604,1042,604,1062,584,1062
690,1046,716,1046,716,1060,690,1060
387,1048,529,1043,530,1067,388,1072
532,1046,556,1046,556,1064,532,1064
558,1046,586,1046,586,1066,558,1066
318,1052,386,1052,386,1074,318,1074
247,1056,313,1054,314,1075,248,1078
149,1060,243,1056,244,1079,150,1083
118,1060,146,1060,146,1084,118,1084
70,1062,115,1066,113,1089,68,1085
662,1070,734,1072,733,1090,661,1087
351,1077,453,1073,454,1095,352,1099
275,1081,349,1078,350,1099,276,1102
218,1084,272,1084,272,1106,218,1106
174,1086,214,1086,214,1108,174,1108
106,1088,170,1088,170,1110,106,1110
70,1090,102,1090,102,1110,70,1110
640,1090,736,1090,736,1112,640,1112
526,1094,570,1094,570,1116,526,1116
576,1094,610,1094,610,1116,576,1116
450,1096,522,1098,521,1122,449,1119
382,1104,421,1098,424,1121,386,1127
426,1102,446,1102,446,1122,426,1122
346,1106,382,1106,382,1126,346,1126
262,1108,344,1108,344,1130,262,1130
220,1110,258,1110,258,1130,220,1130
644,1112,728,1112,728,1128,644,1128
728,1112,746,1112,746,1128,728,1128
150,1112,184,1112,184,1134,150,1134
188,1112,214,1112,214,1132,188,1132
70,1116,104,1116,104,1136,70,1136
108,1116,144,1116,144,1136,108,1136
654,1132,699,1129,701,1151,656,1154
700,1130,736,1130,736,1154,700,1154
108,1140,166,1140,166,1162,108,1162
72,1142,100,1142,100,1162,72,1162
517,1146,587,1143,588,1167,518,1169
446,1148,518,1148,518,1174,446,1174
422,1150,444,1150,444,1174,422,1174
368,1152,394,1152,394,1178,368,1178
245,1159,315,1156,316,1179,246,1182
318,1158,366,1158,366,1178,318,1178
396,1158,420,1158,420,1174,396,1174
204,1162,244,1162,244,1184,204,1184
72,1166,128,1166,128,1186,72,1186
130,1166,154,1166,154,1188,130,1188
156,1166,202,1166,202,1190,156,1190
851,1171,924,1181,919,1220,846,1211
790,1186,850,1186,850,1220,790,1220
722,1194,788,1194,788,1228,722,1228
