103,18,103,56,398,49,398,17
128,97,128,110,171,110,171,97
173,125,173,137,283,137,283,125
173,154,173,166,455,166,455,154
173,182,173,194,513,194,513,182
173,209,173,221,275,221,275,209
128,237,128,250,245,250,245,238
524,247,524,257,582,257,582,247
171,262,171,278,273,278,273,266
524,278,524,290,584,290,584,278
173,293,173,305,359,305,359,293
524,311,524,323,584,323,584,311
173,323,173,335,299,335,299,323
127,350,127,362,178,362,178,350
596,371,596,386,694,386,694,372
173,376,172,389,365,395,366,381
596,403,596,415,799,415,799,400
173,407,173,421,336,419,336,407
596,427,596,443,747,443,747,426
173,434,173,448,412,448,412,436
594,452,594,469,850,469,850,453
173,462,173,476,312,474,312,462
598,481,598,496,857,496,857,479
125,489,125,505,317,503,317,489
596,507,596,524,806,522,806,507
173,519,173,532,287,532,287,520
173,548,173,562,245,558,245,546
171,574,171,587,244,587,244,575
