101,17,101,56,398,49,398,17
128,97,128,110,170,110,170,97
173,125,173,139,283,137,283,125
173,154,173,166,455,166,455,154
647,175,647,204,917,207,917,173
173,182,173,194,513,194,513,182
173,209,173,221,275,221,275,209
128,237,128,250,245,250,245,238
524,247,524,257,575,257,575,247
171,262,171,278,273,278,273,266
524,278,524,290,584,290,584,278
173,293,173,305,359,305,359,293
524,311,524,321,584,321,584,311
173,323,173,335,299,335,299,323
128,350,128,362,178,362,178,350
596,371,596,386,694,386,694,372
171,376,171,391,365,395,366,381
654,400,654,417,799,415,799,400
173,407,173,421,336,419,336,407
654,427,654,443,747,443,747,427
173,434,173,448,410,448,410,436
654,452,654,468,849,469,849,453
173,462,173,476,312,474,312,462
654,479,654,496,855,496,855,479
124,489,125,506,317,503,317,489
655,506,654,522,806,522,806,507
171,517,171,532,287,532,287,520
173,548,173,562,245,560,245,546
171,574,171,587,244,587,244,575
