202,17,238,17,238,49,202,49
245,17,321,17,321,49,245,49
330,17,398,17,398,49,330,49
103,18,195,18,195,56,103,56
128,97,171,97,171,110,128,110
173,125,235,125,235,137,173,137
237,125,283,125,283,137,237,137
173,154,202,154,202,166,173,166
206,154,250,154,250,166,206,166
287,154,347,154,347,166,287,166
348,154,395,154,395,166,348,166
397,154,455,154,455,166,397,166
264,156,283,156,283,168,264,168
173,182,235,182,235,194,173,194
238,182,271,182,271,194,238,194
273,182,300,182,300,194,273,194
302,182,369,182,369,194,302,194
376,180,471,183,470,197,376,194
474,182,513,182,513,194,474,194
173,209,242,209,242,221,173,221
245,209,275,209,275,221,245,221
128,237,166,237,166,250,128,250
168,238,190,238,190,249,168,249
194,238,245,238,245,250,194,250
524,247,582,247,582,257,524,257
171,262,209,262,209,278,171,278
211,262,244,262,244,278,211,278
245,266,273,266,273,278,245,278
524,278,584,278,584,290,524,290
173,293,209,293,209,305,173,305
228,293,300,293,300,305,228,305
302,293,359,293,359,305,302,305
213,295,226,295,226,305,213,305
524,311,584,311,584,323,524,323
173,323,233,323,233,335,173,335
235,323,299,323,299,335,235,335
127,350,178,350,178,362,127,362
596,371,625,371,625,386,596,386
656,372,694,372,694,386,656,386
173,376,208,379,207,392,172,389
305,378,319,378,319,391,305,391
323,377,366,381,365,395,321,391
211,379,238,379,238,391,211,391
245,379,304,379,304,391,245,391
654,400,708,400,708,417,654,417
711,398,758,401,757,418,710,415
759,400,799,400,799,415,759,415
596,403,606,403,606,415,596,415
269,405,297,405,297,419,269,419
173,407,230,407,230,421,173,421
232,405,261,405,261,419,232,419
299,407,336,407,336,419,299,419
596,427,606,427,606,443,596,443
654,425,698,428,697,445,653,443
699,426,747,426,747,443,699,443
173,434,237,434,237,448,173,448
240,434,275,434,275,446,240,446
276,434,345,434,345,446,276,446
348,436,412,436,412,448,348,448
594,452,608,452,608,469,594,469
655,451,698,453,697,471,654,468
699,452,748,454,747,471,698,469
747,452,808,455,807,474,746,471
811,453,850,453,850,469,811,469
173,462,221,462,221,476,173,476
283,462,312,462,312,474,283,474
223,464,281,464,281,476,223,476
598,481,608,481,608,496,598,496
654,478,698,481,697,498,653,496
699,479,754,479,754,496,699,496
754,478,815,482,814,500,753,496
818,479,857,479,857,496,818,496
244,489,317,489,317,503,244,503
125,489,175,489,175,505,125,505
177,490,215,493,214,506,176,503
218,491,240,491,240,503,218,503
596,507,608,507,608,524,596,524
656,507,702,507,702,524,656,524
703,505,764,509,762,528,702,524
764,507,806,507,806,522,764,522
173,519,216,519,216,532,173,532
218,519,250,519,250,531,218,531
254,520,287,520,287,532,254,532
213,546,245,546,245,558,213,558
173,548,211,548,211,562,173,562
171,574,207,574,207,587,171,587
211,575,244,575,244,587,211,587
