294,225,363,225,363,246,294,246
366,227,418,231,416,250,364,246
420,225,469,230,467,253,418,248
468,231,516,231,516,252,468,252
519,234,552,234,552,252,519,252
555,237,588,237,588,255,555,255
591,237,621,237,621,255,591,255
621,237,663,237,663,258,621,258
666,237,690,237,690,258,666,258
690,237,735,237,735,258,690,258
738,240,774,240,774,261,738,261
777,243,816,243,816,261,777,261
819,246,846,246,846,264,819,264
291,255,315,255,315,273,291,273
318,258,360,258,360,276,318,276
363,258,393,258,393,276,363,276
396,258,423,258,423,279,396,279
423,261,456,261,456,279,423,279
456,261,495,261,495,282,456,282
498,264,525,264,525,282,498,282
528,264,582,264,582,282,528,282
585,267,639,267,639,288,585,288
642,267,678,267,678,288,642,288
702,270,747,270,747,291,702,291
681,273,699,273,699,288,681,288
745,276,791,271,793,291,747,296
798,276,867,276,867,297,798,297
288,285,327,285,327,306,288,306
327,288,378,288,378,309,327,309
381,288,402,288,402,306,381,306
405,287,516,293,515,314,404,308
522,294,555,294,555,315,522,315
555,297,603,297,603,318,555,318
606,297,690,297,690,318,606,318
288,312,332,317,329,340,286,335
333,318,369,318,369,339,333,339
372,321,405,321,405,342,372,342
408,321,471,321,471,342,408,342
477,327,510,327,510,342,477,342
513,327,555,327,555,345,513,345
285,348,315,348,315,366,285,366
315,348,348,348,348,369,315,369
351,348,395,353,392,373,349,368
399,354,414,354,414,372,399,372
417,354,441,354,441,372,417,372
441,354,465,354,465,372,441,372
468,354,501,354,501,375,468,375
501,357,546,357,546,375,501,375
552,357,598,362,596,382,550,377
630,360,657,360,657,381,630,381
597,363,627,363,627,381,597,381
657,363,690,363,690,381,657,381
285,378,336,378,336,399,285,399
339,380,486,387,485,408,338,401
279,438,315,438,315,459,279,459
318,438,379,442,377,465,316,461
381,444,411,444,411,465,381,465
408,444,438,444,438,465,408,465
441,447,483,447,483,468,441,468
276,471,306,471,306,489,276,489
309,471,342,471,342,492,309,492
345,470,389,477,386,499,341,492
390,477,405,477,405,495,390,495
411,477,444,477,444,495,411,495
447,480,480,480,480,498,447,498
483,478,521,483,518,502,480,497
528,483,561,483,561,501,528,501
561,483,597,483,597,504,561,504
606,486,624,486,624,507,606,507
630,486,663,486,663,507,630,507
666,486,708,486,708,510,666,510
711,489,735,489,735,507,711,507
738,489,771,489,771,510,738,510
273,501,315,501,315,522,273,522
315,502,367,507,365,526,313,522
369,507,417,507,417,528,369,528
420,510,465,510,465,528,420,528
465,510,507,510,507,531,465,531
270,564,303,564,303,585,270,585
306,564,348,564,348,588,306,588
351,567,393,567,393,588,351,588
396,570,450,570,450,591,396,591
267,597,297,597,297,615,267,615
300,597,333,597,333,618,300,618
333,594,360,594,360,618,333,618
360,600,384,600,384,618,360,618
387,603,444,603,444,624,387,624
447,603,468,603,468,624,447,624
468,606,483,606,483,624,468,624
492,606,525,606,525,624,492,624
528,607,600,611,599,631,527,626
603,612,660,612,660,630,603,630
660,612,702,612,702,633,660,633
705,615,774,615,774,636,705,636
798,618,846,618,846,639,798,639
264,627,291,627,291,648,264,648
291,630,333,630,333,651,291,651
336,633,360,633,360,651,336,651
360,633,405,633,405,651,360,651
261,660,303,660,303,681,261,681
306,663,357,663,357,684,306,684
360,666,408,666,408,687,360,687
405,669,474,669,474,687,405,687
