263,63,652,104,646,163,257,122
85,186,105,186,105,200,85,200
197,193,232,193,232,208,197,208
232,194,260,194,260,209,232,209
260,195,290,197,289,212,259,210
321,197,340,197,340,213,321,213
342,195,387,198,386,215,342,212
46,200,77,200,77,214,46,214
386,201,418,201,418,218,386,218
76,201,113,206,111,220,74,214
418,203,441,205,439,219,417,217
112,205,138,205,138,220,112,220
441,205,472,205,472,221,441,221
473,207,512,209,511,224,472,222
510,210,526,210,526,224,510,224
526,210,562,210,562,228,526,228
570,214,605,214,605,230,570,230
620,216,640,216,640,233,620,233
606,217,621,217,621,232,606,232
638,218,670,218,670,234,638,234
364,220,416,220,416,237,364,237
670,221,702,221,702,236,670,236
456,229,500,229,500,241,456,241
520,230,533,230,533,246,520,246
536,234,580,236,579,247,535,244
598,236,621,236,621,253,598,253
621,239,664,241,663,252,621,250
26,266,54,266,54,281,26,281
53,268,100,268,100,286,53,286
101,270,163,273,162,291,100,287
165,273,178,273,178,289,165,289
242,273,306,273,306,301,242,301
309,276,356,276,356,304,309,304
358,278,408,278,408,306,358,306
410,283,476,288,474,313,408,307
477,286,509,286,509,313,477,313
512,286,558,286,558,314,512,314
40,289,79,293,78,306,39,302
560,289,590,289,590,317,560,317
80,292,108,292,108,306,80,306
106,296,137,296,137,309,106,309
592,294,653,294,653,317,592,317
137,296,160,298,159,311,136,309
356,309,378,309,378,322,356,322
378,310,410,310,410,324,378,324
409,311,438,314,437,327,408,324
437,313,516,319,515,330,436,325
516,318,556,318,556,330,516,330
321,336,349,336,349,350,321,350
350,337,377,337,377,352,350,352
65,348,108,348,108,361,65,361
640,389,666,389,666,406,640,406
